hogar,id,sexo,edad,etnia,sector,area,educacion,ingreso
412,3,Masc,24,No indígena,Formal,Urbana,5,4950
413,1,Fem,60,No indígena,Informal,Urbana,4,0
435,1,Masc,56,No indígena,Informal,Urbana,3,0
435,2,Fem,61,No indígena,Informal,Urbana,6,0
437,2,Fem,41,No indígena,Formal,Urbana,6,30000
441,1,Fem,45,No indígena,Formal,Urbana,5,60000
442,1,Masc,35,No indígena,Informal,Urbana,6,3800
443,1,Masc,55,No indígena,Formal,Urbana,5,75000
443,2,Fem,48,No indígena,Formal,Urbana,5,60000
443,3,Fem,32,No indígena,Formal,Urbana,5,45000
443,4,Fem,29,No indígena,Formal,Urbana,5,54000
443,5,Masc,27,No indígena,Formal,Urbana,5,54000
450,1,Masc,39,No indígena,Formal,Urbana,3,14000
451,1,Fem,41,No indígena,Formal,Urbana,5,10400
451,2,Fem,26,No indígena,Formal,Urbana,6,12800
452,1,Fem,43,No indígena,Formal,Urbana,5,56000
459,1,Masc,56,No indígena,Formal,Urbana,5,30200
459,2,Fem,50,No indígena,Formal,Urbana,5,25700
459,3,Fem,20,No indígena,Formal,Urbana,2,10500
460,2,Fem,42,No indígena,Formal,Urbana,1,18000
461,1,Masc,41,No indígena,Formal,Urbana,3,12000
461,2,Fem,33,No indígena,Formal,Urbana,3,12000
461,4,Fem,65,No indígena,Formal,Urbana,6,10500
465,1,Masc,50,No indígena,Formal,Urbana,5,40000
466,1,Masc,30,No indígena,Formal,Urbana,5,18000
467,1,Fem,40,No indígena,Formal,Urbana,5,32000
468,1,Masc,41,No indígena,Formal,Urbana,5,12500
468,2,Fem,38,No indígena,Informal,Urbana,6,0
469,1,Fem,55,No indígena,Informal,Urbana,3,2740
469,2,Masc,55,No indígena,Formal,Urbana,6,7500
469,3,Masc,24,No indígena,Informal,Urbana,1,2800
470,1,Masc,36,No indígena,Informal,Urbana,5,0
470,2,Fem,36,No indígena,Formal,Urbana,6,8750
470,5,Fem,65,No indígena,Formal,Urbana,5,18000
471,1,Masc,35,No indígena,Informal,Urbana,2,3600
471,2,Fem,39,No indígena,Informal,Urbana,6,0
472,1,Fem,65,No indígena,Informal,Urbana,3,0
472,2,Masc,37,No indígena,Formal,Urbana,4,12000
472,3,Fem,35,No indígena,Informal,Urbana,5,18000
473,1,Masc,68,No indígena,Informal,Urbana,3,0
474,1,Masc,30,No indígena,Informal,Urbana,1,2000
474,2,Fem,27,No indígena,Informal,Urbana,5,0
475,1,Masc,53,No indígena,Formal,Urbana,6,16000
475,2,Fem,47,No indígena,Informal,Urbana,7,4000
476,1,Masc,62,No indígena,Informal,Urbana,6,2500
476,3,Fem,39,No indígena,Formal,Urbana,5,14000
476,4,Masc,28,No indígena,Formal,Urbana,6,16000
476,5,Masc,26,No indígena,Formal,Urbana,6,16000
476,6,Fem,23,No indígena,Formal,Urbana,6,12000
477,1,Masc,45,No indígena,Informal,Urbana,6,0
477,2,Fem,58,No indígena,Formal,Urbana,5,11400
